ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,32556,SYSTEM1.TXT,0.19330,0.30576,0.23686,3

ROUGE-SU4+StopWordRemoval,32556,SYSTEM1.TXT,0.12135,0.21328,0.15469,3

ROUGE-1+StopWordRemoval,32553,SYSTEM1.TXT,0.17766,0.42236,0.25011,4

ROUGE-2+StopWordRemoval,32553,SYSTEM1.TXT,0.06293,0.13327,0.08549,4

ROUGE-L+StopWordRemoval,32553,SYSTEM1.TXT,0.13734,0.27542,0.18329,4

ROUGE-SU4+StopWordRemoval,32553,SYSTEM1.TXT,0.10061,0.21154,0.13636,4

ROUGE-1+StopWordRemoval,31224,SYSTEM1.TXT,0.27480,0.40749,0.32824,4

ROUGE-2+StopWordRemoval,31224,SYSTEM1.TXT,0.05347,0.07203,0.06138,4

ROUGE-L+StopWordRemoval,31224,SYSTEM1.TXT,0.25148,0.27235,0.26150,4

ROUGE-SU4+StopWordRemoval,31224,SYSTEM1.TXT,0.12640,0.15264,0.13829,4

ROUGE-1+StopWordRemoval,31462,SYSTEM1.TXT,0.36622,0.38874,0.37714,4

ROUGE-2+StopWordRemoval,31462,SYSTEM1.TXT,0.15135,0.14914,0.15024,4

ROUGE-L+StopWordRemoval,31462,SYSTEM1.TXT,0.32836,0.28671,0.30613,4

ROUGE-SU4+StopWordRemoval,31462,SYSTEM1.TXT,0.21591,0.18668,0.20024,4

ROUGE-1+StopWordRemoval,32792,SYSTEM1.TXT,0.29995,0.43689,0.35570,3

ROUGE-2+StopWordRemoval,32792,SYSTEM1.TXT,0.11241,0.16272,0.13296,3

ROUGE-L+StopWordRemoval,32792,SYSTEM1.TXT,0.22558,0.30279,0.25854,3

ROUGE-SU4+StopWordRemoval,32792,SYSTEM1.TXT,0.14782,0.22308,0.17781,3

ROUGE-1+StopWordRemoval,31220,SYSTEM1.TXT,0.33836,0.43165,0.37935,3

ROUGE-2+StopWordRemoval,31220,SYSTEM1.TXT,0.09971,0.11600,0.10724,3

ROUGE-L+StopWordRemoval,31220,SYSTEM1.TXT,0.27662,0.26448,0.27042,3

ROUGE-SU4+StopWordRemoval,31220,SYSTEM1.TXT,0.17022,0.18766,0.17852,3

ROUGE-1+StopWordRemoval,30813,SYSTEM1.TXT,0.22306,0.55014,0.31742,3

ROUGE-2+StopWordRemoval,30813,SYSTEM1.TXT,0.08387,0.19668,0.11760,3

ROUGE-L+StopWordRemoval,30813,SYSTEM1.TXT,0.19399,0.39250,0.25965,3

ROUGE-SU4+StopWordRemoval,30813,SYSTEM1.TXT,0.13190,0.27515,0.17832,3

ROUGE-1+StopWordRemoval,31109,SYSTEM1.TXT,0.36827,0.42063,0.39271,4

ROUGE-2+StopWordRemoval,31109,SYSTEM1.TXT,0.13246,0.14750,0.13957,4

ROUGE-L+StopWordRemoval,31109,SYSTEM1.TXT,0.23989,0.27642,0.25686,4

ROUGE-SU4+StopWordRemoval,31109,SYSTEM1.TXT,0.20402,0.20961,0.20678,4

ROUGE-1+StopWordRemoval,30815,SYSTEM1.TXT,0.15017,0.56645,0.23740,3

ROUGE-2+StopWordRemoval,30815,SYSTEM1.TXT,0.04830,0.17767,0.07595,3

ROUGE-L+StopWordRemoval,30815,SYSTEM1.TXT,0.14617,0.44394,0.21992,3

ROUGE-SU4+StopWordRemoval,30815,SYSTEM1.TXT,0.08136,0.26552,0.12456,3

ROUGE-1+StopWordRemoval,31469,SYSTEM1.TXT,0.16762,0.54322,0.25619,4

ROUGE-2+StopWordRemoval,31469,SYSTEM1.TXT,0.07251,0.21166,0.10802,4

ROUGE-L+StopWordRemoval,31469,SYSTEM1.TXT,0.13497,0.35475,0.19554,4

ROUGE-SU4+StopWordRemoval,31469,SYSTEM1.TXT,0.09816,0.28461,0.14597,4

ROUGE-1+StopWordRemoval,31105,SYSTEM1.TXT,0.22407,0.47308,0.30410,3

ROUGE-2+StopWordRemoval,31105,SYSTEM1.TXT,0.06027,0.15957,0.08749,3

